profile_id,run,model,intent,reasoning,parse_error,latency_s
A_website_dwell_time_high,1,openai-gpt-oss-120b,High Intent,"Strong signals: website_dwell_time=10min, demo_requests=1, and positive email response indicate high purchase intent.",,18.9
B_company_size_low,1,meta-llama-3.1-8b-instruct,Low Intent,"Company size is small (10), dwell time is short (40 sec), and there was no email response, indicating limited engagement and purchase intent.",,18.27
E_BASE,5,meta-llama-3.1-8b-instruct,Low Intent,"Company size is 250, which is relatively small, and website dwell time is only 1 min, indicating limited interest in our services.",,19.46
C_website_dwell_time_low,3,apertus-70b-instruct-2509,High Intent,High engagement metrics (2 demo requests) and promising email response indicate strong interest.,,19.25
E_company_size_high,5,meta-llama-3.1-8b-instruct,Low Intent,"Company size is large (10000), but website dwell time is short (1 min) and only one demo request was made, indicating limited engagement.",,18.6
E_BASE,1,apertus-70b-instruct-2509,High Intent,Company size (250) and industry (Retail) suggest a potential for significant data analytics needs. The demo request indicates active interest.,,19.67
A_industry_non-icp,3,openai-gpt-oss-120b,High Intent,The presence of a demo request (demo_requests=1) combined with a positive email response and 4‑minute dwell time indicates strong purchase interest.,,18.88
B_demo_requests_low,4,meta-llama-3.1-8b-instruct,Low Intent,"Company size is large (5000), but website dwell time is short (40 sec), and there are no demo requests or email responses, indicating low engagement and purchase intent.",,18.46
A_region_icp,4,meta-llama-3.1-8b-instruct,Low Intent,"Company size is 500, which is relatively small, and the engagement metrics show a moderate level of interest, but the email response does not explicitly indicate a strong purchase intent.",,19.19
B_BASE,4,apertus-70b-instruct-2509,Low Intent,Low engagement metrics (no email response) and large company size (5000) may indicate a less urgent need for data analytics solutions.,,19.45
E_region_non-icp,2,meta-llama-3.1-8b-instruct,Low Intent,"Company size of 250 and website dwell time of 1 min indicate limited engagement, while only one demo request was made.",,18.07
D_BASE,2,meta-llama-3.1-8b-instruct,High Intent,"Company size (1200) and industry (Energy) indicate a large organization with specific needs, while the email response suggests a high level of engagement with the content, and 2 demo requests indicate a strong interest in the product.",,19.25
A_email_response_non-icp,5,meta-llama-3.1-8b-instruct,Low Intent,"Company size (500) and industry (Finance) are neutral, but email response ('We’re not interested.') indicates low purchase intent.",,18.74
A_website_dwell_time_low,1,openai-gpt-oss-120b,Low Intent,"Demo_requests=1 indicates some interest, but low website dwell time (15 sec) and only a tentative email reply keep overall intent low.",,19.53
D_email_response_non-icp,2,openai-gpt-oss-120b,Low Intent,Email response='We’re not interested' outweighs demo_requests=2,,19.01
D_demo_requests_high,1,apertus-70b-instruct-2509,High Intent,Company size 1200 (large enterprise) and industry Energy (high-value sector) indicate strong potential for data analytics and AI integration. Multiple demo requests and positive email response further support high intent.,,20.34
A_demo_requests_high,4,meta-llama-3.1-8b-instruct,High Intent,"Company size (500) and industry (Finance) indicate a medium to large enterprise, which typically has a higher purchase intent. Additionally, website dwell time (4 min) is above average, suggesting engagement. The customer's email response also indicates interest, further supporting high intent.",,17.41
C_website_dwell_time_high,5,meta-llama-3.1-8b-instruct,High Intent,"Company size (80) and industry (Healthcare) indicate a medium to large organization with specific needs, while website dwell time (10 min) and demo requests (2) suggest engagement, and the email response is very promising.",,20.44
C_region_icp,4,apertus-70b-instruct-2509,High Intent,High website dwell time (7 min) and promising email response indicate strong interest. Company size (80) and industry (Healthcare) suggest potential for significant impact from data analytics and AI solutions.,,19.79
C_company_size_high,4,apertus-70b-instruct-2509,High Intent,Company size (10000) and industry (Healthcare) indicate a potential for significant investment. Active evaluation of solutions (email response) and multiple demo requests further suggest strong interest.,,17.78
A_industry_non-icp,5,openai-gpt-oss-120b,High Intent,"The combination of a 4‑minute dwell time, a demo request (demo_requests=1) and a positive email response indicates strong purchase interest.",,18.54
C_industry_icp,1,meta-llama-3.1-8b-instruct,High Intent,"Company size (80) is large, industry (Software / IT) is relevant, region (Middle East) is targeted, website dwell time (7 min) is high, demo requests (2) are numerous, and email response is very promising.",,18.85
E_industry_non-icp,5,meta-llama-3.1-8b-instruct,Low Intent,"Company size is 250, which is relatively small, and website dwell time is only 1 min, indicating limited interest in our services.",,19.74
D_region_icp,1,meta-llama-3.1-8b-instruct,High Intent,"Company size (1200) and industry (Energy) indicate a large organization with specific needs, while website dwell time (2.5 min) and demo requests (2) suggest engagement, and email response ('This looks relevant') indicates strong interest.",,18.75
D_region_non-icp,2,apertus-70b-instruct-2509,High Intent,"Company size (1200) and industry (Energy) suggest a potential for significant investment in data analytics and AI. The email response indicates relevance to current initiatives, further supporting high intent.",,19.9
B_company_size_high,2,openai-gpt-oss-120b,High Intent,The presence of a demo request (demo_requests = 1) is a strong purchase intent signal despite no email response.,,17.55
E_region_non-icp,5,openai-gpt-oss-120b,Low Intent,Low website_dwell_time (1 min) and only a single demo_requests indicate limited purchase intent.,,19.34
E_demo_requests_high,3,apertus-70b-instruct-2509,High Intent,Company size (250) and industry (Retail) suggest a potential for significant data analytics needs. Multiple demo requests (3) indicate active interest in our solutions.,,20.07
D_demo_requests_high,4,openai-gpt-oss-120b,High Intent,Multiple demo_requests (3) and a positive email response indicate strong purchase intent.,,17.7
A_region_icp,2,openai-gpt-oss-120b,High Intent,"Positive demo_requests, 4 min website dwell time, and an interested email response indicate strong purchase intent.",,18.5
C_region_non-icp,3,apertus-70b-instruct-2509,High Intent,High website dwell time (7 min) and promising email response indicate strong interest.,,20.51
A_demo_requests_low,4,meta-llama-3.1-8b-instruct,Low Intent,"Company size is 500, which is relatively small, and there are no demo requests, indicating a lack of strong purchase intent. The dwell time is 4 minutes, which is above average, but the email response does not explicitly indicate a strong interest in purchasing our services.",,18.3
E_website_dwell_time_high,1,openai-gpt-oss-120b,High Intent,Long website dwell time (10 min) and a demo request indicate strong purchase interest.,,18.35
D_region_icp,1,openai-gpt-oss-120b,High Intent,Multiple demo_requests (2) and a positive email response indicate strong purchase intent.,,19.16
B_demo_requests_high,4,meta-llama-3.1-8b-instruct,Low Intent,"Company size is large (5000), but website dwell time is short (40 sec) and there's no email response, indicating a lack of engagement.",,18.43
A_email_response_icp,5,apertus-70b-instruct-2509,High Intent,High website dwell time (4 min) and demo request indicate strong interest. Email response suggests readiness to discuss further.,,20.18
A_company_size_low,3,openai-gpt-oss-120b,High Intent,The presence of a demo request (demo_requests = 1) and a positive email response indicates strong purchase intent despite the small company size.,,18.63
E_email_response_non-icp,3,apertus-70b-instruct-2509,Low Intent,Low website dwell time (1 min) and email response indicating no interest.,,18.95
B_region_non-icp,5,apertus-70b-instruct-2509,Low Intent,Low email response and no demo requests beyond initial contact indicate limited engagement.,,19.46
C_industry_icp,4,meta-llama-3.1-8b-instruct,High Intent,"Company size (80) is large, industry (Software / IT) is relevant, region (Middle East) is targeted, website dwell time (7 min) is high, demo requests (2) are numerous, and email response is very promising.",,19.14
D_company_size_high,3,meta-llama-3.1-8b-instruct,High Intent,"Company size is large (10000), indicating a potential for significant investment in data analytics platforms and AI integration, and the industry is Energy, which often requires advanced data analysis. Additionally, the email response suggests a strong interest in the current initiatives, and the demo requests (2) indicate a desire for more information.",,19.35
B_company_size_low,5,meta-llama-3.1-8b-instruct,Low Intent,"Company size is small (10), dwell time is short (40 sec), and there's no email response, indicating limited engagement and purchase intent.",,17.72
B_email_response_non-icp,4,openai-gpt-oss-120b,Low Intent,"The email response 'We’re not interested' outweighs the single demo request and moderate dwell time, indicating low purchase intent.",,18.85
C_region_icp,5,apertus-70b-instruct-2509,High Intent,High website dwell time (7 min) and promising email response indicate strong interest. Company size (80) and industry (Healthcare) suggest potential for significant impact from data analytics/AI solutions.,,20.57
B_email_response_icp,5,apertus-70b-instruct-2509,High Intent,High website dwell time (40 sec) and a demo request indicate strong interest. Email response suggests readiness for next steps.,,19.03
D_region_non-icp,5,openai-gpt-oss-120b,High Intent,Multiple demo_requests and a positive email response indicate strong purchase intent despite moderate dwell time.,,17.72
C_email_response_icp,4,apertus-70b-instruct-2509,High Intent,High website dwell time (7 min) and multiple demo requests (2) indicate strong interest. Email response requesting a meeting next week further supports high intent.,,20.35
E_company_size_low,2,meta-llama-3.1-8b-instruct,Low Intent,"Company size is small (10) and dwell time on the website is short (1 min), indicating limited interest.",,31.46
D_BASE,1,openai-gpt-oss-120b,High Intent,Multiple demo_requests and a positive email response indicate strong purchase intent.,,5.12
D_website_dwell_time_high,2,apertus-70b-instruct-2509,High Intent,High website dwell time (10 min) and multiple demo requests (2) indicate strong interest. Email response also suggests relevance to current initiatives.,,20.43
D_company_size_low,4,openai-gpt-oss-120b,High Intent,Multiple demo_requests and a positive email response indicate strong purchase interest despite small company size.,,17.53
B_email_response_icp,4,apertus-70b-instruct-2509,High Intent,High website dwell time (40 sec) and a demo request indicate strong interest. Email response requesting a meeting next week further supports this.,,20.55
A_demo_requests_low,1,meta-llama-3.1-8b-instruct,Low Intent,"Company size is 500, which is relatively small, and there are no demo requests, indicating a lack of strong purchase intent. The email response is positive but does not indicate a clear decision to purchase.",,17.17
A_email_response_non-icp,1,openai-gpt-oss-120b,Low Intent,"Despite a demo request and 4 min dwell time, the explicit email_response of ""We’re not interested"" strongly indicates low purchase intent.",,19.36
A_company_size_low,5,openai-gpt-oss-120b,High Intent,"The combination of a 4-minute website dwell time, a demo request (demo_requests=1), and a positive email response indicates strong purchase interest.",,19.25
D_region_non-icp,1,openai-gpt-oss-120b,High Intent,Multiple demo_requests and a positive email response indicate strong purchase intent despite moderate dwell time.,,18.63
B_website_dwell_time_low,5,meta-llama-3.1-8b-instruct,Low Intent,"Company size is large, but website dwell time is short and there was no email response, indicating a lack of engagement.",,18.64
D_website_dwell_time_high,5,apertus-70b-instruct-2509,High Intent,High website dwell time (10 min) and multiple demo requests (2) indicate strong interest. Email response also suggests relevance to current initiatives.,,20.68
B_industry_icp,5,openai-gpt-oss-120b,High Intent,The presence of a demo request (demo_requests = 1) is a strong purchase intent signal despite no email response.,,17.79
B_industry_non-icp,3,openai-gpt-oss-120b,High Intent,Demo requests=1 indicates strong purchase interest despite no email response,,19.01
E_email_response_non-icp,1,openai-gpt-oss-120b,Low Intent,Negative email_response outweighs the single demo request; low website dwell time indicates low interest.,,19.1
D_industry_non-icp,3,apertus-70b-instruct-2509,High Intent,Company size (1200) and industry (Public Service) suggest a potential for large-scale implementation. Website dwell time (2.5 min) and demo requests (2) indicate active interest. Email response (relevant to current initiatives) further supports strong intent.,,20.75
E_BASE,5,openai-gpt-oss-120b,Low Intent,"Despite 1 demo request, the low website_dwell_time of 1 minute suggests limited engagement, leading to a low intent classification.",,17.33
A_email_response_icp,5,openai-gpt-oss-120b,High Intent,"Positive email response and demo_requests indicate strong purchase interest, reinforced by 4 min website dwell time.",,18.75
E_region_icp,4,apertus-70b-instruct-2509,High Intent,Company size (250) and industry (Retail) suggest a potential for significant data analytics needs. The demo request further indicates active interest in our solutions.,,20.89
B_company_size_low,4,openai-gpt-oss-120b,High Intent,Demo_requests=1 indicates strong interest despite low email_response and moderate website_dwell_time=40s.,,17.1
A_region_non-icp,2,meta-llama-3.1-8b-instruct,Low Intent,"Company size is 500, which is relatively small, and the engagement metrics show a moderate level of interest, but no strong purchase signals such as demo requests or email responses indicating a clear need for our services.",,18.68
D_industry_icp,4,meta-llama-3.1-8b-instruct,High Intent,"Company size (1200) and industry (Software / IT) indicate a large organization with potential for AI integration, while website dwell time (2.5 min) and demo requests (2) suggest engagement, and email response ('This looks relevant...') indicates strong interest.",,20.49
D_industry_icp,4,apertus-70b-instruct-2509,High Intent,"Company size (1200) and industry (Software/IT) suggest a potential fit for our data analytics platforms. The email response indicates relevance to current initiatives, further supporting high intent.",,19.4
E_email_response_icp,5,openai-gpt-oss-120b,High Intent,Positive email response and demo_requests indicate strong purchase interest despite moderate website_dwell_time.,,17.55
D_industry_non-icp,1,meta-llama-3.1-8b-instruct,High Intent,"Company size (1200) and industry (Public Service) indicate a large organization with potential for data analytics and AI integration, while website dwell time (2.5 min) and demo requests (2) suggest engagement, and email response ('This looks relevant') indicates strong interest.",,18.78
E_demo_requests_low,1,openai-gpt-oss-120b,Low Intent,Low website dwell time (1 min) and zero demo requests indicate low purchase intent.,,19.82
E_demo_requests_high,3,openai-gpt-oss-120b,High Intent,The 3 demo_requests indicate strong purchase interest despite moderate dwell time.,,18.85
D_website_dwell_time_low,5,meta-llama-3.1-8b-instruct,High Intent,"Company size (1200) and industry (Energy) indicate a large organization with specific needs, while 2 demo requests and a positive email response ('This looks relevant to our current initiatives.') suggest strong interest in the product.",,18.15
B_website_dwell_time_low,1,meta-llama-3.1-8b-instruct,Low Intent,"Company size is large, but website dwell time is short and there was no email response, indicating a lack of engagement.",,18.93
D_BASE,3,meta-llama-3.1-8b-instruct,High Intent,"Company size (1200) and industry (Energy) indicate a large organization with specific needs, while demo requests (2) and positive email response ('This looks relevant to our current initiatives.') suggest strong interest in the solution.",,19.14
E_website_dwell_time_high,2,apertus-70b-instruct-2509,High Intent,Company size (250) and industry (Retail) suggest a potential for significant data analytics needs. The demo request further indicates active interest in our solutions.,,20.99
A_email_response_non-icp,1,meta-llama-3.1-8b-instruct,Low Intent,"Company size is 500, which is relatively small, and the email response indicates a lack of interest.",,17.13
D_company_size_high,4,meta-llama-3.1-8b-instruct,High Intent,"Company size (10000) indicates a large organization, and the industry (Energy) is a key focus area for our services. The region (Asia) is also a strategic market. Additionally, the email response indicates strong interest, and 2 demo requests were made, suggesting a high level of engagement.",,18.94
C_industry_non-icp,3,apertus-70b-instruct-2509,High Intent,High website dwell time (7 min) and promising email response indicate strong interest.,,20.28
B_email_response_icp,5,meta-llama-3.1-8b-instruct,High Intent,"Company size (5000) and industry (Manufacturing) indicate a large organization with potential for data analytics and AI integration, while the email response suggests a strong interest in scheduling a meeting, indicating a high level of purchase intent.",,18.08
C_email_response_icp,5,apertus-70b-instruct-2509,High Intent,High website dwell time (7 min) and multiple demo requests (2) indicate strong interest. Email response requesting a meeting next week further supports high intent.,,20.36
A_demo_requests_low,5,meta-llama-3.1-8b-instruct,Low Intent,"Company size is 500, which is relatively small, and there are no demo requests, indicating a lack of strong purchase intent. The dwell time is 4 minutes, which is above average, but the email response does not explicitly indicate a strong interest in purchasing our services.",,17.61
C_demo_requests_low,4,openai-gpt-oss-120b,High Intent,Strong email_response indicating active evaluation outweighs lack of demo requests; high dwell time supports interest.,,19.36
D_company_size_high,3,apertus-70b-instruct-2509,High Intent,Company size (10000) and industry (Energy) suggest significant potential for data analytics and AI integration. Multiple demo requests and positive email response indicate strong interest.,,19.95
D_company_size_low,1,openai-gpt-oss-120b,High Intent,Multiple demo_requests and a positive email response indicate strong purchase interest despite small company size.,,17.46
E_company_size_low,4,apertus-70b-instruct-2509,High Intent,Company size (10) and industry (Retail) suggest potential for data analytics and AI integration. Demo request indicates active interest.,,19.99
D_BASE,5,openai-gpt-oss-120b,High Intent,Multiple demo_requests and a positive email response indicate strong purchase intent.,,18.1
A_region_icp,2,apertus-70b-instruct-2509,High Intent,Company size (500) and industry (Finance) indicate a potential for significant investment in data analytics platforms. The demo request and positive email response further suggest active interest.,,20.45
E_demo_requests_low,5,apertus-70b-instruct-2509,Low Intent,"Company size 250 (medium) and industry Retail (common) with low engagement metrics (website dwell time 1 min, no demo requests, and no email response).",,19.76
D_industry_icp,2,meta-llama-3.1-8b-instruct,High Intent,"Company size (1200) and industry (Software / IT) align with our target market, and the email response indicates strong relevance to their current initiatives, while a dwell time of 2.5 min and 2 demo requests further indicate active engagement.",,16.94
D_email_response_icp,5,openai-gpt-oss-120b,High Intent,"Multiple demo_requests and a positive email response indicating a meeting request, combined with 2.5 min dwell time, signal strong purchase intent.",,18.91
C_website_dwell_time_low,4,apertus-70b-instruct-2509,High Intent,High engagement metrics (2 demo requests) and promising email response indicate strong interest in the solution.,,19.96
C_email_response_non-icp,2,meta-llama-3.1-8b-instruct,Low Intent,"Company size is 80, which is not a large enterprise, and the email response indicates a lack of interest, while the website dwell time of 7 min and 2 demo requests suggest some level of engagement, but not strong enough to overcome the negative email response.",,17.88
A_region_non-icp,5,openai-gpt-oss-120b,High Intent,The presence of a demo request (demo_requests=1) and a positive email response indicates strong purchase interest despite moderate dwell time.,,19.1
B_BASE,5,apertus-70b-instruct-2509,Low Intent,Low email response and no demo requests beyond the initial one indicate limited engagement.,,19.65
E_website_dwell_time_low,4,meta-llama-3.1-8b-instruct,Low Intent,"Company size is 250, which is relatively small, and website dwell time is 15 sec, indicating a lack of engagement.",,18.12
A_industry_icp,3,openai-gpt-oss-120b,High Intent,"The lead has a demo_requests count of 1 and a positive email response, indicating strong purchase interest.",,19.18
E_company_size_low,5,meta-llama-3.1-8b-instruct,Low Intent,"Company size is small (10) and dwell time on the website is short (1 min), indicating limited interest.",,19.25
D_region_icp,2,apertus-70b-instruct-2509,High Intent,"Company size (1200) and industry (Energy) suggest a potential for significant investment in data analytics platforms. The email response indicates relevance to current initiatives, further supporting high intent.",,20.1
A_demo_requests_high,1,openai-gpt-oss-120b,High Intent,"Multiple demo_requests, 4 min website dwell time, and a positive email response indicate strong purchase intent.",,18.17
C_demo_requests_high,1,meta-llama-3.1-8b-instruct,High Intent,"Company size (80) indicates a medium to large organization, which is a good fit for our solutions. Industry (Healthcare) is a key sector for our expertise. Region (Middle East) is a target market. Website dwell time (7 min) suggests engagement. Demo requests (3) and a very promising email response further indicate strong interest.",,18.57
C_website_dwell_time_high,4,openai-gpt-oss-120b,High Intent,"Strong signals: demo_requests=2, website_dwell_time=10 min, and a very promising email response indicating active evaluation.",,19.23
D_region_non-icp,4,meta-llama-3.1-8b-instruct,High Intent,"Company size (1200) and industry (Energy) indicate a large organization with specific needs, while the email response suggests relevance to current initiatives, and 2 demo requests further indicate strong interest.",,18.64
E_region_icp,4,meta-llama-3.1-8b-instruct,Low Intent,"Company size of 250 and website dwell time of 1 min indicate limited engagement, while only 1 demo request was made.",,19.15
C_company_size_high,3,meta-llama-3.1-8b-instruct,High Intent,"Company size (10000) and industry (Healthcare) indicate a large organization with specific needs, while website dwell time (7 min) and demo requests (2) suggest engagement. Email response ('Very promising. We're actively evaluating solutions like this.') further indicates purchase intent.",,18.79
B_company_size_high,3,openai-gpt-oss-120b,High Intent,The presence of a demo request (demo_requests = 1) is a strong purchase intent signal despite no email response.,,19.4
B_region_non-icp,2,apertus-70b-instruct-2509,Low Intent,Low email response and no demo requests beyond initial contact indicate limited engagement.,,19.74
D_BASE,2,openai-gpt-oss-120b,High Intent,Multiple demo_requests and a positive email response indicate strong purchase intent.,,18.11
C_industry_icp,4,apertus-70b-instruct-2509,High Intent,High website dwell time (7 min) and multiple demo requests indicate strong interest. Promising email response further supports high intent.,,19.58
B_email_response_non-icp,1,apertus-70b-instruct-2509,Low Intent,Low engagement (website dwell time 40 sec) and negative response to demo request indicate low interest.,,18.97
A_region_icp,1,meta-llama-3.1-8b-instruct,Low Intent,"Company size is 500, which is relatively small, and website dwell time is 4 min, which is average. The industry is Finance, but there's no specific engagement with financial data analytics or AI integration. The email response is positive, but it's a generic response and doesn't indicate a strong purchase intent.",,18.65
D_demo_requests_high,3,openai-gpt-oss-120b,High Intent,Multiple demo_requests (3) and a positive email response indicate strong purchase intent.,,18.92
D_demo_requests_low,2,openai-gpt-oss-120b,High Intent,Positive email_response indicating relevance to current initiatives outweighs lack of demo request,,19.21
E_website_dwell_time_high,4,apertus-70b-instruct-2509,High Intent,Company size (250) and industry (Retail) suggest a potential for significant data analytics needs. The demo request further indicates active interest in our solutions.,,19.56
E_email_response_icp,5,apertus-70b-instruct-2509,High Intent,"High engagement metrics (1 demo request, 1 email response) and company size (250) indicate strong interest in our services.",,18.88
C_BASE,3,openai-gpt-oss-120b,High Intent,"Strong signals from demo_requests=2, email_response='very promising', and website_dwell_time=7min indicate active evaluation.",,18.33
A_website_dwell_time_low,3,meta-llama-3.1-8b-instruct,Low Intent,"Company size is 500, which is relatively small, and website dwell time is 15 seconds, indicating a lack of engagement.",,18.71
C_company_size_low,1,apertus-70b-instruct-2509,High Intent,High website dwell time (7 min) and promising email response indicate strong interest. Company size (10) and industry (Healthcare) suggest potential for significant impact from data analytics/AI solutions.,,20.23
C_demo_requests_low,2,meta-llama-3.1-8b-instruct,High Intent,"Company size (80) and industry (Healthcare) indicate a medium to large organization with potential for significant investment, while the region (Middle East) is a key market for our services. The very promising email response further indicates a strong interest in our solutions, outweighing the low website dwell time (7 min) and lack of demo requests (0).",,18.23
B_email_response_icp,3,openai-gpt-oss-120b,High Intent,Positive email response and demo_requests=1 indicate strong purchase interest despite moderate website dwell time.,,18.93
A_company_size_high,3,openai-gpt-oss-120b,High Intent,The presence of a demo request (demo_requests=1) combined with a positive email response and 4-minute dwell time indicates strong purchase interest.,,18.78
B_region_icp,1,meta-llama-3.1-8b-instruct,Low Intent,"Company size is large (5000 employees), but website dwell time is short (40 sec) and there was no email response, indicating low engagement.",,18.92
D_email_response_icp,3,openai-gpt-oss-120b,High Intent,"Multiple demo_requests and a positive email_response indicating a meeting request, combined with solid website dwell time, signal strong purchase intent.",,19.4
D_demo_requests_low,1,meta-llama-3.1-8b-instruct,Low Intent,"Company size (1200) is relatively large, but no demo requests were made, and website dwell time (2.5 min) is short, and email response indicates mild interest but not strong purchase intent.",,18.54
A_email_response_non-icp,4,openai-gpt-oss-120b,Low Intent,The explicit email_response of 'We’re not interested' overrides the moderate website_dwell_time and single demo request.,,19.65
C_BASE,1,apertus-70b-instruct-2509,High Intent,High website dwell time (7 min) and promising email response indicate strong interest.,,19.48
E_BASE,2,apertus-70b-instruct-2509,High Intent,Company size (250) and industry (Retail) suggest a potential for significant data analytics needs. The demo request indicates active interest.,,19.29
B_company_size_low,1,apertus-70b-instruct-2509,Low Intent,Low email response and no demo requests indicate limited engagement. Company size and industry are neutral factors.,,18.63
C_website_dwell_time_high,2,apertus-70b-instruct-2509,High Intent,High website dwell time (10 min) and promising email response indicate strong interest. Company size (80) and industry (Healthcare) suggest potential for significant investment in analytics/AI solutions.,,19.39
C_industry_non-icp,3,meta-llama-3.1-8b-instruct,High Intent,"Company size (80) and engagement metrics (7 min dwell time, 2 demo requests, very promising email response) indicate strong interest in the solution.",,17.63
B_company_size_high,5,openai-gpt-oss-120b,High Intent,Demo request (demo_requests=1) indicates strong purchase interest despite no email response.,,19.95
B_region_icp,5,meta-llama-3.1-8b-instruct,Low Intent,"Company size is large (5000), but website dwell time is short (40 sec), and there is no email response, indicating a lack of engagement.",,18.01
E_industry_non-icp,1,openai-gpt-oss-120b,High Intent,The presence of a demo request (demo_requests=1) combined with a decent website dwell time (website_dwell_time=1 min) indicates strong purchase interest.,,19.57
D_company_size_high,5,apertus-70b-instruct-2509,High Intent,Company size (10000) and industry (Energy) suggest significant potential for data analytics and AI integration. Multiple demo requests and positive email response indicate strong interest.,,19.92
B_email_response_icp,4,openai-gpt-oss-120b,High Intent,Positive email_response and demo_requests=1 indicate strong purchase intent despite moderate website dwell time.,,17.84
B_company_size_low,5,apertus-70b-instruct-2509,Low Intent,Low email response and no demo requests indicate limited engagement. Company size and industry are neutral factors.,,19.97
C_website_dwell_time_high,3,openai-gpt-oss-120b,High Intent,"Strong signals: demo_requests=2, website_dwell_time=10 min, and a very promising email response indicating active evaluation.",,18.32
D_demo_requests_low,1,openai-gpt-oss-120b,High Intent,Positive email response indicating relevance to current initiatives outweighs lack of demo request; email response is a strong intent signal.,,18.98
A_region_icp,3,openai-gpt-oss-120b,High Intent,"Positive demo_requests, 4 min website dwell time, and an interested email response indicate strong purchase intent.",,18.92
E_region_icp,3,apertus-70b-instruct-2509,High Intent,Company size (250) and industry (Retail) suggest a potential for significant data analytics needs. The demo request further indicates active interest in our solutions.,,20.06
A_email_response_icp,3,meta-llama-3.1-8b-instruct,High Intent,"Company size (500) and industry (Finance) indicate a medium to large enterprise, which typically has a higher purchase intent. Additionally, the email response suggests a strong interest in scheduling a meeting, indicating a higher level of engagement.",,17.61
D_industry_non-icp,1,apertus-70b-instruct-2509,High Intent,Company size (1200) and industry (Public Service) suggest a potential for large-scale implementation. Website dwell time (2.5 min) and demo requests (2) indicate active interest. Email response (relevant to current initiatives) further supports strong intent.,,39.84
C_region_non-icp,2,openai-gpt-oss-120b,High Intent,"Strong signals: demo_requests=2, website_dwell_time=7 min and a very promising email response indicating active evaluation.",,17.79
C_company_size_high,4,openai-gpt-oss-120b,High Intent,"Strong signals: demo_requests=2, website_dwell_time=7min, and email response indicates active evaluation.",,19.12
C_industry_non-icp,4,meta-llama-3.1-8b-instruct,High Intent,"Company size (80) indicates a medium to large organization, and the industry (Public Service) is a good fit for our services. The email response ('Very promising. We're actively evaluating solutions like this.') is a strong positive signal, and the demo requests (2) suggest interest in our product.",,18.18
A_company_size_low,3,apertus-70b-instruct-2509,High Intent,"Company size 10 (Finance industry in Europe) with 4 min dwell time, 1 demo request, and positive email response indicate strong interest.",,20.32
A_industry_non-icp,3,meta-llama-3.1-8b-instruct,Low Intent,"Company size is 500, which is relatively small, and the industry is Public Service, which may not be a typical target for our AI integration services. The dwell time on the website is 4 minutes, which is average, and the email response indicates mild interest but does not explicitly express a strong intent to purchase.",,17.7
D_BASE,1,apertus-70b-instruct-2509,High Intent,Company size (1200) and industry (Energy) suggest significant potential for data analytics and AI integration. Website dwell time (2.5 min) and demo requests (2) indicate active interest. Email response indicates relevance to current initiatives.,,21.15
D_email_response_non-icp,1,meta-llama-3.1-8b-instruct,Low Intent,"Company size (1200) and industry (Energy) do not indicate specific pain points, and email response ('We’re not interested.') directly contradicts purchase intent.",,16.95
B_company_size_high,4,apertus-70b-instruct-2509,Low Intent,Low email response and no demo requests beyond the initial one indicate limited engagement.,,19.69
C_region_non-icp,3,meta-llama-3.1-8b-instruct,High Intent,"Company size (80) indicates a medium to large organization, and the industry (Healthcare) is a key target for our services. The region (Africa) presents a growth opportunity. The website dwell time (7 min) suggests engagement, and the demo requests (2) and email response ('Very promising') further indicate strong interest in our solutions.",,37.84
A_website_dwell_time_high,4,apertus-70b-instruct-2509,High Intent,Company size (500) and industry (Finance) indicate potential for significant investment in data analytics platforms. Website dwell time (10 min) and demo request suggest active interest. Email response 'looks interesting' indicates openness to further information.,,20.35
B_industry_icp,3,meta-llama-3.1-8b-instruct,Low Intent,"Company size is large (5000), but website dwell time is short (40 sec), and there is no email response, indicating a lack of engagement.",,17.13
A_industry_non-icp,5,meta-llama-3.1-8b-instruct,Low Intent,"Company size is 500, which is relatively small, and the industry is Public Service, which may not be a typical target for our AI integration services. The dwell time on the website is 4 minutes, which is average, and the email response indicates mild interest but does not explicitly express a strong intent to purchase.",,18.92
B_website_dwell_time_low,1,openai-gpt-oss-120b,Low Intent,"Low dwell time (15 sec) and no email response outweigh the single demo_requests, indicating low purchase intent.",,19.29
A_demo_requests_low,2,apertus-70b-instruct-2509,Low Intent,"Company size 500 and industry Finance suggest potential interest, but no demo requests and only a neutral email response indicate low purchase intent.",,20.28
D_industry_icp,3,meta-llama-3.1-8b-instruct,High Intent,"Company size (1200) and industry (Software / IT) align with our target market, and the email response indicates strong relevance, while a dwell time of 2.5 min and 2 demo requests further indicate active engagement.",,17.51
B_BASE,1,openai-gpt-oss-120b,High Intent,Demo request (demo_requests=1) is a strong purchase intent signal despite no email response.,,19.15
E_industry_non-icp,4,openai-gpt-oss-120b,High Intent,The presence of a demo request (demo_requests=1) combined with a decent website dwell time (website_dwell_time=1 min) indicates strong purchase interest.,,19.35
B_company_size_low,2,apertus-70b-instruct-2509,Low Intent,Low email response and no demo requests indicate low engagement. Company size and industry are neutral.,,19.63
C_website_dwell_time_low,4,meta-llama-3.1-8b-instruct,High Intent,"Company size is large (80), industry is Healthcare, and email response is very promising, indicating a strong interest in the solution.",,36.89
E_industry_non-icp,3,openai-gpt-oss-120b,High Intent,"The presence of a demo request (demo_requests=1) outweighs the modest website dwell time (website_dwell_time=1 min), indicating strong purchase intent.",,19.45
